"id","week","reply","tweet"
"gXTTp","Week 4",NA,"Reading my kindle2...  Love it... Lee childs is good read."
"25G3c","Week 6",NA,"Ok, first assesment of the #kindle2 ...it ***ing rocks!!!"
"PADP0","Week 1",NA,"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)"
"oaxTQ","Week 1",NA,"@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)"
"PADP0","Week 5",NA,"@richardebaker no. it is too big. I'm quite happy with the Kindle2."
"j7Bci","Week 1",NA,"Jquery is my new best friend."
"O6lGC","Week 5","07afq","Loves twitter"
"CJpca","Week 2",NA,"how can you not love ***? he makes jokes about himself."
"u3xQt","Week 2",NA,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, *** got a standing ovation"
"25G3c","Week 1",NA,"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!"
"Y01Vp","Week 2","j7Bci","#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
"IB4pa","Week 1",NA,"i love lebron. http://bit.ly/PdHur"
"KOxaL","Week 2",NA,"@Pmillzz lebron IS THE BOSS"
"EDFnD","Week 4","u3xQt","@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
"u3xQt","Week 1","yLUSs","lebron and zydrunas are such an awesome duo"
"IB4pa","Week 6","D1feR","@wordwhizkid Lebron is a beast... nobody in the NBA comes even close."
"rlWpN","Week 3","PADP0","downloading apps for my iphone! So much fun :-) There literally is an app for just about anything."
"GNnWT","Week 2",NA,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
"Y01Vp","Week 4",NA,"http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)"
"rlWpN","Week 4",NA,"In montreal for a long weekend of R&amp;R. Much needed."
"v72w9","Week 2",NA,"Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv"
"v72w9","Week 5","xQLFc","[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP"
"1r2qs","Week 4",NA,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
"xQLFc","Week 6",NA,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
"1r2qs","Week 1",NA,"RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR"
"O6lGC","Week 3","j7Bci","@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
"Y01Vp","Week 3","D1feR","I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
"GNnWT","Week 5",NA,"is going to sleep then on a bike ride:]"
"j7Bci","Week 4",NA,"@YarnThing you will not regret going to see Star Trek. It was AWESOME!"
"1x52f","Week 4","PADP0","Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell"
"3JLvN","Week 5",NA,"Blink by malcolm gladwell amazing book and The tipping point!"
"25G3c","Week 2",NA,"Malcolm Gladwell might be my new man crush"
"GNnWT","Week 2",NA,"@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code."
"u3xQt","Week 1","tVYJM","Hello Twitter API ;)"
"rlWpN","Week 2",NA,"is scrapbooking with Nic =D"
"IB4pa","Week 4","i53qc","RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR"
"3JLvN","Week 1",NA,"just changed my default pic to a Nike basketball cause bball is awesome!!!!!"
"07afq","Week 4",NA,"Back when I worked for Nike we had one fav word : JUST DO IT! :)"
"3JLvN","Week 3",NA,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
"CJpca","Week 4",NA,"Class... The 50d is supposed to come today :)"
"s4lda","Week 3",NA,"SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......"
"5XnVy","Week 1",NA,"@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!"
"rlWpN","Week 2","GNnWT","@ work til 6pm... lets go lakers!!!"
"IB4pa","Week 2",NA,"omgg i ohhdee want mcdonalds damn i wonder if its open lol =]"
"1r2qs","Week 1",NA,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
"s4lda","Week 5",NA,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
"1r2qs","Week 6",NA,"Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!"
"v72w9","Week 1",NA,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
"oaxTQ","Week 4",NA,"The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!"
"Y01Vp","Week 4","D1feR","top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9"
"oaxTQ","Week 4",NA,"zomg!!! I have a G2!!!!!!!"
"oaxTQ","Week 5",NA,"Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl"
"rlWpN","Week 2",NA,"just got a free G2 android at google i/o!!!"
"25G3c","Week 5",NA,"Guess I'll be retiring my G1 and start using my developer G2 woot #googleio"
"EDFnD","Week 5",NA,"I am happy for Philip being at GoogleIO today"
"s4lda","Week 2","07afq","Lakers played great!  Cannot wait for Thursday night Lakers vs. ???"
"i53qc","Week 6",NA,"Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK"
"PADP0","Week 2",NA,"watching Night at The Museum . Lmao"
"D1feR","Week 4","PADP0","i loved night at the museum!!!"
"oaxTQ","Week 2",NA,"just got back from the movies.  went to see the new night at the museum with rachel.  it was good"
"IB4pa","Week 2",NA,"@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good"
"07afq","Week 3",NA,"no watching The Night At The Museum. Getting Really Good"
"Y01Vp","Week 2",NA,"Night at the Museum, Wolverine and junk food - perfect monday!"
"PADP0","Week 5","KOxaL","saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!"
"IB4pa","Week 6",NA,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
"1x52f","Week 3",NA,"is studing math ;) tomorrow exam and dentist :)"
"5XnVy","Week 1","rlWpN","Safeway is very rock n roll tonight"
"GNnWT","Week 2",NA,"i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol."
"GNnWT","Week 2",NA,"is lovin his Nike  already and that's only from running on the spot in his bedroom"
"tVYJM","Week 6","1r2qs","@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations."
"07afq","Week 4",NA,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
"GDdMt","Week 3","O6lGC","RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
"D1feR","Week 5",NA,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
"PADP0","Week 2","1x52f","According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
"O6lGC","Week 4",NA,"@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2"
"KOxaL","Week 4",NA,"We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there."
"u3xQt","Week 6",NA,"@ArunBasilLal I love Google Translator too ! :D Good day mate !"
"O6lGC","Week 6",NA,"reading on my new Kindle2!"
"j7Bci","Week 2",NA,"My Kindle2 came and I LOVE it! :)"
"s4lda","Week 1","Y01Vp","LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
"07afq","Week 3","tVYJM","*** is quite a good comedian! check out his dinner speech on CNN :) very funny jokes."
"i53qc","Week 3",NA,"' Barack *** shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."
"hm3b7","Week 2","gXTTp","I like this guy : ' Barack *** shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"
"1x52f","Week 3","GDdMt","***'s speech was pretty awesome last night! http://bit.ly/IMXUM"
"GNnWT","Week 2","KOxaL","Reading  ""Bill Clinton Fail - *** Win?"" http://tinyurl.com/pcyxj7"
"PADP0","Week 2","oaxTQ","*** More Popular Than U.S. Among Arabs: Survey: President Barack ***'s popularity in leading Arab countries .. http://tinyurl.com/prlvqu"
"D1feR","Week 2","gXTTp","***'s got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)"
"gXTTp","Week 3",NA,"is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals"
"D1feR","Week 3",NA,"@khalid0456 No, Lebron is the best"
"u3xQt","Week 3","07afq","@the_real_usher LeBron is cool.  I like his personality...he has good character."
"CJpca","Week 3",NA,"Watching Lebron highlights. Damn that niggas good"
"tVYJM","Week 1",NA,"@Lou911 Lebron is MURDERING ***."
"PADP0","Week 5",NA,"@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready."
"i53qc","Week 2",NA,"@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players."
"fkUaH","Week 2",NA,"KOBE IS GOOD BT LEBRON HAS MY VOTE"
"3JLvN","Week 6",NA,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
"CJpca","Week 3",NA,"Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI"
"O6lGC","Week 4",NA,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
"5XnVy","Week 1","rlWpN","@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
"Y01Vp","Week 1","CJpca","@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF"
"1x52f","Week 2",NA,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!"
"gXTTp","Week 6",NA,"The Times of India: The wonder that is India's election. http://bit.ly/p7u1H"
"i53qc","Week 4","5XnVy","http://is.gd/ArUJ Good video from Google on using search options."
"hm3b7","Week 5",NA,"Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH"
"GDdMt","Week 3",NA,"Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl"
"1x52f","Week 1","xQLFc","Lyx is cool."
"25G3c","Week 6",NA,"SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!"
"gXTTp","Week 3",NA,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV"
"GDdMt","Week 4","v72w9","@dannygokey I love you DANNY GOKEY!! :)"
"CJpca","Week 2",NA,"With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!"
"oaxTQ","Week 1",NA,"Went to see the Star Trek movie last night.  Very satisfying."
"07afq","Week 5","yLUSs","I can't wait, going to see star trek tonight!!"
"tVYJM","Week 6","1r2qs","Star Trek was as good as everyone said!!"
"CJpca","Week 4","s4lda","am loving new malcolm gladwell book - outliers"
"D1feR","Week 1","HcpuS","I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well."
"07afq","Week 2",NA,"RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell."
"HcpuS","Week 1",NA,"I seriously underestimated Malcolm Gladwell.  I want to meet this dude."
"Y01Vp","Week 5",NA,"I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/"
"u3xQt","Week 3",NA,"Off to the NIKE factory!!!"
"IB4pa","Week 3",NA,"New nike muppet commercials are pretty cute. Why do we live together again?"
"j7Bci","Week 4",NA,"@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ..."
"i53qc","Week 1",NA,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
"i53qc","Week 2",NA,"@jonduenas @robynlyn just got us a 50D for the office. :D"
"O6lGC","Week 1",NA,"Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!"
"i53qc","Week 2",NA,"Just got my new toy. Canon 50D. Love love love it!"
